terminal_id,grade_id,day,opening_stock,volume_in,volume_out,closing_stock,receipts,shipments,rack_liftings,transfers_in,transfers_out,exchange_in,exchange_out,regrade_in,regrade_out,gain_loss
8,3,2016-01-01,402,0,0,402,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-02,402,0,48,354,0,0,48,0,0,0,0,0,0,0
8,3,2016-01-03,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-04,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-05,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-06,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-07,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-08,354,0,0,354,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-09,354,0,24,330,0,0,24,0,0,0,0,0,0,0
8,3,2016-01-10,330,0,0,330,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-11,330,0,24,306,0,0,24,0,0,0,0,0,0,0
8,3,2016-01-12,306,0,24,282,0,0,24,0,0,0,0,0,0,0
8,3,2016-01-13,282,0,0,282,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-14,282,0,17,265,0,0,17,0,0,0,0,0,0,0
8,3,2016-01-15,265,0,24,241,0,0,24,0,0,0,0,0,0,0
8,3,2016-01-16,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-17,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-18,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-19,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-20,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-21,241,0,0,241,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-22,241,0,49,192,0,0,49,0,0,0,0,0,0,0
8,3,2016-01-23,192,0,0,192,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-24,192,0,0,192,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-25,192,0,0,192,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-26,192,0,24,168,0,0,24,0,0,0,0,0,0,0
8,3,2016-01-27,168,0,0,1168,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-28,1168,0,48,1120,0,0,48,0,0,0,0,0,0,0
8,3,2016-01-29,1120,0,0,1120,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-30,1120,0,0,1120,0,0,0,0,0,0,0,0,0,0
8,3,2016-01-31,1120,0,0,1120,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-01,1120,0,36,1084,0,0,36,0,0,0,0,0,0,0
8,3,2016-02-02,1084,0,0,1084,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-03,1084,0,0,1084,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-04,1084,0,0,1084,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-05,1084,0,0,1084,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-06,1084,0,24,1060,0,0,24,0,0,0,0,0,0,0
8,3,2016-02-07,1060,0,0,1060,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-08,1060,0,0,1060,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-09,1060,0,0,1060,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-10,1060,0,24,1036,0,0,24,0,0,0,0,0,0,0
8,3,2016-02-11,1036,0,0,1036,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-12,1036,0,0,1036,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-13,1036,0,0,1036,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-14,1036,0,0,1036,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-15,1036,0,48,988,0,0,48,0,0,0,0,0,0,0
8,3,2016-02-16,988,0,0,988,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-17,988,0,0,988,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-18,988,0,0,988,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-19,988,0,0,988,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-20,988,0,23,964,0,0,23,0,0,0,0,0,0,0
8,3,2016-02-21,964,0,0,964,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-22,964,0,0,964,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-23,964,0,0,964,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-24,964,0,24,940,0,0,24,0,0,0,0,0,0,0
8,3,2016-02-25,940,0,0,940,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-26,940,0,24,916,0,0,24,0,0,0,0,0,0,0
8,3,2016-02-27,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-28,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-02-29,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-01,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-02,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-03,916,0,0,916,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-04,916,0,24,892,0,0,24,0,0,0,0,0,0,0
8,3,2016-03-05,892,0,0,892,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-06,892,0,0,892,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-07,892,0,23,868,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-08,868,0,0,868,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-09,868,0,0,868,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-10,868,0,0,868,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-11,868,0,23,844,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-12,844,0,0,844,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-13,844,0,0,844,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-14,844,0,0,844,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-15,844,0,0,844,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-16,844,0,23,820,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-17,820,0,0,820,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-18,820,0,23,796,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-19,796,0,0,796,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-20,796,0,0,796,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-21,796,0,23,772,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-22,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-23,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-24,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-25,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-26,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-27,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-28,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-29,772,0,0,772,0,0,0,0,0,0,0,0,0,0
8,3,2016-03-30,772,0,23,748,0,0,23,0,0,0,0,0,0,0
8,3,2016-03-31,748,0,0,748,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-01,748,0,0,748,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-02,748,0,47,700,0,0,47,0,0,0,0,0,0,0
8,3,2016-04-03,700,0,0,700,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-04,700,0,0,700,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-05,700,0,0,700,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-06,700,0,23,676,0,0,23,0,0,0,0,0,0,0
8,3,2016-04-07,676,0,0,676,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-08,676,0,35,640,0,0,35,0,0,0,0,0,0,0
8,3,2016-04-09,640,0,0,640,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-10,640,0,0,640,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-11,640,0,23,616,0,0,23,0,0,0,0,0,0,0
8,3,2016-04-12,616,0,0,616,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-13,616,0,0,616,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-14,616,0,0,616,0,0,0,0,0,0,0,0,0,0
8,3,2016-04-15,616,0,23,592,0,0,23,0,0,0,0,0,0,0
8,3,2016-04-16,592,0,0,592,0,0,0,0,0,0,0,0,0,0
